data_pt,px,py,dataset,num_points,q_min,q_max,filename
94,0.0,-22.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0094_1D.csv
95,0.0,-27.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0095_1D.csv
96,0.0,-31.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0096_1D.csv
97,4.5,31.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0097_1D.csv
98,4.5,27.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0098_1D.csv
99,4.5,22.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0099_1D.csv
100,4.5,18.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0100_1D.csv
101,4.5,13.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0101_1D.csv
102,4.5,9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0102_1D.csv
103,4.5,4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0103_1D.csv
104,4.5,0.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0104_1D.csv
105,4.5,-4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0105_1D.csv
106,4.5,-9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0106_1D.csv
107,4.5,-13.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0107_1D.csv
108,4.5,-18.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0108_1D.csv
109,4.5,-22.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0109_1D.csv
110,4.5,-27.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0110_1D.csv
111,4.5,-31.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0111_1D.csv
112,9.0,31.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0112_1D.csv
113,9.0,27.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0113_1D.csv
114,9.0,22.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0114_1D.csv
